,Clean_Tweets,Uncleand_Tweets
1015,sketchy edits tesla wiki whitewash eberhard problem glorify role pretty odd,There are sketchy edits to Tesla wiki that whitewash Eberhard  s problems / glorify his role . Pretty odd https://t.co/PPSorKWdI8
1016,eberhard fired tesla ceo role mid providing false information,When Eberhard was fired from the Tesla CEO role in mid 2007 for providing false information to me & t https://t.co/8hJ3VlxZfP
1017,interesting,Interesting
1018,rt future car electric entire industry start making marketing compelling ev everyone,RT :  The future of cars can and will be electric if the entire industry starts making and marketing compelling EVs for everyone
1019,,https://t.co/XlBiDpmUuQ
1020,probably,Probably
1021,exact art wall place stay boca chica,I have that exact art on the wall of the place I stay in Boca Chica !
1022,yes failure protect nursing home major mistake happened country,"Yes , failure to protect nursing homes was a major mistake ( happened in most countries https://t.co/CMvdKMriSh"
1023,sweden right,Sweden was right https://t.co/bzc2lFDjZQ
1024,,https://t.co/lGPVl7K1mI
1025,great work spacex valve engineering production,Great work by SpaceX valve engineering & production !
1026,tile mechanically attached,Our tiles are mechanically attached
1027,,It m https://t.co/wHXamj12IQ
1028,tile,Tiles will be https://t.co/XPnQrCXQNc
1029,compiler need improve imo type pointer memory problem detected comp,"Compilers need to improve imo . Most type , pointer ( or other memory ) problems can be detected at comp https://t.co/n3rZP4uDI1"
1030,proud say nose pointier need haha,I  m proud to say that that nose is pointier than it needs to be haha
1031,rt put model long range electric suv test track find turn well,"RT : We put the 2020 Model Y Long Range electric SUV on our test track to find out what it can do  and it turns out , well ,"
1032,norway lead world,Norway leads the world
1033,passed cryo proof,Passed cryo proof
1034,u f,<U+0001F44D>
1035,yeah contest advanced casting crush best case printing casting work wel,"Yeah , it  s not a contest . Advanced casting crushes best-case 3D printing , but casting doesn  t work wel https://t.co/UscSeP00AQ"
1036,great pic,Great pics !
1037,maybe flag mar,Maybe this should be the flag of Mars
1038,additive manufacturing part still far costly car rapidly create tooling accel,"Additive manufacturing of parts is still far too costly for cars , but can rapidly create tooling to accel https://t.co/z9kxjt9Umj"
1039,pretty much think may end high note,"Pretty much , but I think it may end on a high note"
1040,rt starman last seen leaving earth made first close approach mar today within astronomical unit mill,"RT : Starman , last seen leaving Earth , made its first close approach with Mars today  within 0.05 astronomical units , or under 5 mill"
1041,meant say fixed latest wide release need wait fsd,Meant to say that it should be fixed in the latest wide release . Won  t need to wait for FSD .
1042,,It should be
1043,exactly barked tree way long sigh give false sense,Exactly . We barked up that tree for way too long ( sigh ) . Gives a false sense of https://t.co/aIGaEnC8f0
1044,yes play sexy snake jazz u f,"Yes , we will play sexy snake jazz <U+0001F923>"
1045,yes,Yes
1046,yeah provided metal gear snake autocoupler,"Yeah , provided we do our metal gear snake autocoupler"
1047,waymo impressive highly specialized solution tesla approach general solution lat,"Waymo is impressive , but a highly specialized solution . The Tesla approach is a general solution . The lat https://t.co/BbchdqHjjA"
1048,yeah could put setting allowing drop low,"Yeah , we could put in a setting allowing it to drop as low as 5 %"
1049,great render note need arm,"Great render . Note , there will need to be an arm https://t.co/9g2N7FvSCZ"
1050,mimecraft,Mimecraft
1051,yes,Yes
1052,autopilot team making great progress reality sure complicated,Autopilot team is making great progress . Reality sure is complicated !
1053,aspiring flame diverter boca,"Aspiring to have no flame diverter in Boca , https://t.co/KyENxZ94oy"
1054,giant steel ball haha,We do have giant steel balls haha
1055,completed financing round let know another one,"We just completed a financing round , but will let you know when there is another one"
1056,definitely need try tasty cake pastry next visit,I definitely need to try these tasty cakes & pastries on my next visit !
1057,mass ratio liquid oxygen much denser liquid,Mass ratio . Liquid oxygen is much denser than liquid m https://t.co/GNhcI8rEh3
1058,amazing kebab ever outside tacheles,Had the most amazing kebab ever just outside of Tacheles . Too https://t.co/DsGVWDHGNV
1059,ner kebab,döner kebab
1060,welcome,You  re most welcome !
1061,high bay finished except giant gantry crane within,High bay should be finished ( except for the giant gantry crane ) within https://t.co/mIEAHkGnFO
1062,look tasty,That looks tasty !
1063,crash absorption rail cut replaced bolted part collision repair,The crash absorption rails can be cut off & replaced with a bolted part for collision repair
1064,sandy munro understands engineering,Sandy Munro understands engineering
1065,would like licensing battlestar galactica actually buil,That would be like licensing Battlestar Galactica . Actually buil https://t.co/Hi2oD05YE8
1066,yes gigafactory hardest critical product,"Yes , the Gigafactory is the hardest & most critical product"
1067,battery pack bonded structure cell providing shear transfer b,Battery pack will be a bonded structure with cells providing shear transfer b https://t.co/NbZQeKw0qx
1068,understand production much better primary competitive advantage long term,But now we understand production much better . It will be our primary competitive advantage long-term .
1069,even gm chrysler went bankrupt ford tesla u car company,Even GM & Chrysler went bankrupt in 2009 . Ford and Tesla are the only US car companies t https://t.co/ieaOuIsJRi
1070,model production ramp sheer agony two year die te,"The Model 3 production ramp was sheer agony for two years , but that was do or die for Te https://t.co/zHqXmcO6Gy"
1071,bringing new product volume production inspiration perspiration st,Bringing a new product to volume production is 1 % inspiration & 99 % perspiration . You do st https://t.co/g5DLCmG7wC
1072,marginal cost starship mass orbit well kg fully burdened cost depends flight rate,Marginal cost of Starship mass to orbit should be well under $ 100 / kg . Fully burdened cost depends on flight rate .
1073,prototype piece cake high volume production new technology extremely hard ta,"Prototypes are a piece of cake , but high volume production of a new technology is extremely hard . Ta https://t.co/O1oJwfJ2zG"
1074,expect make heavy use lfp medium range car stationary storage,We do expect to make heavy use of LFP for medium range cars & stationary storage
1075,berlin use cell structural battery pack front rear single piece casting also,"Berlin will use 4680 cell with structural battery pack & front & rear single piece castings . Also , a https://t.co/pTeAj9z79i"
1076,,They are
1077,wish company would put spreadsheet moment focus making,I do so wish that more companies would put down their spreadsheets for a moment and focus on making https://t.co/LCkXzfpoZx
1078,bar absolute fine,"7 bar absolute , which is fine for https://t.co/Afru9AdajY"
1079,cryo pressure test succeeded small le,"Cryo pressure test succeeded , but a small le https://t.co/2wYticEwfr"
1080,one best shot ever,One of the best shots ever !
1081,much sooner,Much sooner
1082,great photo,Great photo !
1083,soon,It will soon
1084,rt falcon launch starlink satellite orbit completing spacex rd flight previously flown rocket booster,"RT : Falcon 9 launches 60 Starlink satellites to orbit , completing SpaceX's 43rd flight of a previously flown rocket booster https :/"
1085,satellite reach target position able roll fairly wide public beta,"Once these satellites reach their target position , we will be able to roll out a fairly wide public beta in https://t.co/2klHnFmgZ1"
1086,rt deployment starlink satellite confirmed,RT : Deployment of 60 Starlink satellites confirmed https://t.co/x83OvjB4Pa
1087,seeing notable difference yet think booster could probably reflig,We  re not seeing notable differences yet . I think the boosters could probably do 100 + reflig https://t.co/ZUgaqUVPy7
1088,roughly week two turnaround needed meet max launch demand starship,Roughly a week or two turnaround is all that  s needed to meet max launch demand . Starship S https://t.co/YXmoOFZU8n
1089,ahem yes rd flight booster rd flight active half fairing aiming,"Ahem , yes , it was the 3rd flight of this booster & 3rd flight for active half of fairing . Aiming for https://t.co/AWxTjEfC2d"
1090,th flight landing booster,4th flight & landing for this booster https://t.co/UOtvMkgXqH
1091,minute launch look good far,5 minutes from launch . Looks good so far . https://t.co/on2f1pY5jt
1092,crazy subsidize pollution good people especially dense city heavy,"So crazy to subsidize pollution ! This is not good for people , especially in dense cities with heavy https://t.co/ACKoIzWcPW"
1093,step right direction really aim full reusability larger ro,"It  s a step in the right direction , but they should really aim for full reusability by 2026 . Larger ro https://t.co/6hVvKUQdON"
1094,turn volume play powerglide tesla,Turn volume to 11 & play Powerglide in your Tesla https://t.co/l07Yc02P7g
1095,fsd solve issue,FSD will solve these issues
1096,music volume tesla go louder,"Music volume on a Tesla goes to 11 , because it  s louder than 10 https://t.co/ab5hAMo3EN"
1097,one favorite writer foundation tough make movie outstanding potential,"One of my favorite writers . Foundation is tough to make into a movie , but has outstanding potential ."
1098,u f af,<U+0001F4AF>
1099,,https://t.co/gLnevuneYl
1100,rewatched young frankenstein weekend still awesome ovaltine,Rewatched Young Frankenstein this weekend . Still awesome . Ovaltine ? https://t.co/WiMdyFSuiq
1101,remake potential great kinda liked original tbh possible take level,"The remake has the potential to be great . I kinda liked the original tbh , but it  s possible to take it up a level ."
1102,hollywood start sequel skip original financials,"Hollywood should just start with the sequel & skip the original , because financials"
1103,article wildly incorrect lithium battery cost factor presently x long term,This article is wildly incorrect about lithium battery costs by a factor of 5 or more presently & 10X long-term
1104,pretty wild,"Pretty wild , https://t.co/8PQh2kaLCF"
1105,new spacex droneship called shortfall gravitas,New SpaceX droneship will be called  A Shortfall of Gravitas 
1106,nothing escape gravity even black hole really tried,"Nothing can escape gravity , not even black holes ( and they really tried ! )"
1107,would cool put mind car driving,Would be cool to put yourself in the mind of the car while it  s driving
1108,coming soon,Coming soon
1109,call booty great game,"Call of Booty , great game"
1110,,https://t.co/HyfszSrm6m
1111,vector space bird eye view coming fsd,Vector-space bird  s eye view coming with FSD
1112,unexpected pressure rise turbomachinery gas generator,Unexpected pressure rise in the turbomachinery gas generator
1113,broad review launch site propulsion structure av,"All of that and more . We  re doing a broad review of launch site , propulsion , structures , av https://t.co/NkFviDSxpp"
1114,exactly,Exactly
1115,need make lot improvement chance completing launch next year,We will need to make a lot of improvements to have a chance of completing 48 launches next year !
1116,agree lex,I agree with Lex
1117,glad ok,Glad you  re ok !
1118,haha,Haha
1119,thanks waiting,Thanks for waiting !
1120,next year sure,Next year for sure
1121,,https://t.co/ZFBqLHXK3F
1122,,https://t.co/hSCBeF8MNf
1123,great,Great
1124,brown,Browns https://t.co/ggoEsDif2J
1125,average latency improve sat,Average latency will improve as more sat https://t.co/piqitzEIa5
1126,,Very s https://t.co/EtjXxIv2vq
1127,yes starlink design,"Yes , Starlink is design https://t.co/r4RRGVpvR0"
1128,probably optimized tanker,"Probably 5 or 6 with an optimized tanker , a https://t.co/smk67d3Fmx"
1129,starlink revolution connectivity esp,"Starlink will be a revolution in connectivity , esp https://t.co/bQfD2KWhBn"
1130,yeah,Yeah
1131,great letter increasingl,Great letter ! It will be increasingl https://t.co/XkwyOn48IO
1132,ship ring thicker need,The ship rings are thicker than they need to be ( for https://t.co/s4Itp647WO
1133,next level,It  s next-level
1134,u f b u f u f,<U+0001F4B0> <U+0001F4A9> <U+0001F923>
1135,glad hear mom ok,Glad to hear your Mom is ok
1136,good see inspiring future space,Good to see . Inspiring for future of space !
1137,new heat pump model,The new heat pump in Model Y is what re https://t.co/rJ35A3VlUf
1138,yes coming soon,"Yes , coming soon"
1139,great render circumferentia,Great render ! The circumferentia https://t.co/6oTTSIX8aF
1140,hard tried pushing c,That  s very hard to do . Have you tried pushing on the c https://t.co/7elp9Pf9sl
1141,cool sure done suspect best ca,"It  s cool & for sure can & should be done , but I suspect its best cas https://t.co/PmYScvZozY"
1142,weld esthetic improve greatly upcoming starship,Weld esthetics will improve greatly in upcoming Starships
1143,haha true shower wide range,Haha true . Why do showers have such a wide range ! ?
1144,,! !
1145,yes,Yes
1146,light fast think,Light is not as fast as you  d think
1147,rt dragon dock two dragon docked simultaneously crew cargo mission,"RT : Once this Dragon docks to the , there will be two Dragons docked simultaneously . Between crew and cargo missions ,"
1148,rt spacex training astronaut fly board dragon first operational mission complete crew arrives,RT : SpaceX training of astronauts that will fly on board Dragon  s first operational mission is complete ! When the crew arrives for
1149,rt launch crew dragon first operational mission astronaut board spacex launch st cargo resupply mi,"RT : After launch of Crew Dragon  s first operational mission with astronauts on board , SpaceX will launch its 21st cargo resupply mi"
1150,maybe used many magenta spotlight,Maybe we used too many magenta spotlights
1151,rt news targeting et saturday oct launch crew mission send ast,"RT : NEWS : We  re now targeting 2:40 am ET Saturday , Oct . 31 , for the launch of the and Crew - 1 mission to send ast"
1152,low center gravity make world difference safety,Having a low center of gravity makes a world of difference to safety
1153,probably ipo starlink several year future revenue growth,"We will probably IPO Starlink , but only several years in the future when revenue growth is https://t.co/kH4QryrKOe"
1154,fate loooves irony haha,Fate loooves irony haha
1155,glad spacex could help prioritizing emergency responder location internet connectivity,Glad SpaceX could help ! We are prioritizing emergency responders & locations with no Internet connectivity at all .
1156,true,True
1157,total market tesla see tesla reaching vehicle year probably bu,"That  s total market , not all Tesla . We do see Tesla reaching 20M vehicles / year probably before 2030 , bu https://t.co/GXnszaCAR3"
1158,total market,Total market
1159,seven year sure new fully electric vehicle per year six year maybe five ye,"Seven years for sure to 30M + new fully electric vehicles per year , six years maybe . Five ye https://t.co/FY4nwWbx56"
1160,original car,Both will do original cars
1161,cutting price model k referring future car smaller model,We aren  t cutting the price of Model 3 to $ 25k . I was referring to a future car that will be smaller than Model 3 .
1162,heavy duty paintball machine gun mounted bed rail,"What about a heavy duty , paintball machine gun mounted on the bed rails ?"
1163,new version coming soon,New version coming soon
1164,supplier high energy nickel least also maybe presenta,"Suppliers . We  re only doing high energy nickel ourselves , at least for now . Also , maybe the presenta https://t.co/L8Pv6okpkY"
1165,,https://t.co/r1Sox7vta8
1166,,https://t.co/qUF0HH8qcg
1167,u f u f,<U+0001F923> <U+0001F923>
1168,checking,Checking into it
1169,totally head tesla delivery center near maybe help new owner would cool,"Totally up to you , but if you head to a Tesla delivery center near you & maybe help out new owners , that would be cool"
1170,completely agree,Completely agree
1171,yes flap directly driven electric motor gearbox hydraulics,"Yes , the flaps are now directly driven by electric motors with a gearbox ! No more hydraulics ."
1172,thanks tesla team great work delivery new owner super appreciate accommodating u delivery ti,"Thanks Tesla Team for great work on deliveries ! For new owners , we super appreciate accommodating us on delivery ti https://t.co/PPzzHXbxgp"
1173,time feel like living dilbert cartoon,There are times when I feel like I  m living in a Dilbert cartoon
1174,specie stood test time,That species has stood the test of time
1175,mostly l broke interface sn,"Mostly 304L , some 301 . Broke at 301 to 304 interface . SN9 will https://t.co/wpePRV5S4r"
1176,bar differential ullage bar base due propellant head,"8 bar differential in ullage , 9 bar at base due to propellant head . It  https://t.co/QvGKYW2qd0"
1177,need enough height test body flap drawing propellant header v main tank se,We just need enough height to test body flaps & drawing propellant from headers vs main tanks . Will do se https://t.co/PGzAfeSC7X
1178,first flight km ft,"First flight is to 15km or ~ 50,000 ft"
1179,nosecone front flap next week sn next month,Nosecone & front flaps next week . SN9 next month .
1180,starship sn rear body flap,Starship SN8 with rear body flaps https://t.co/GdxMbzX0ct
1181,,https://t.co/V6us36YHO6
1182,sure,Sure
1183,true,True
1184,rt falcon launch super cool interstellar mapping acceleration probe imap help researcher better,"RT : Falcon 9 will launch  s super cool Interstellar Mapping and Acceleration Probe ( IMAP ) , which will help researchers better"
1185,bad,Not bad
1186,exactly,Exactly
1187,sandy munro understands engineering,Sandy Munro understands engineering
1188,turn mostly press letter u f typewriter u f,Turns out they mostly press the letter s & <U+0001F4A9> on the typewriter <U+0001F923> https://t.co/KaarAJVL2b
1189,centaur bow obviously,Centaur with a bow obviously https://t.co/cfKfkFFXp0
1190,haha,Haha
1191,something like,Something like this https://t.co/NDVuUmms67
1192,support wheel vehicle safe enough,Can  t support 3 wheel vehicles . Not safe enough .
1193,mm,~ 9007mm
1194,something appealing hawking hartle idea agree turok feldbrugge lehners,"Something appealing about Hawking / Hartle idea , but I agree with Turok / Feldbrugge / Lehners"
1195,u f ur algo,<U+0001F5A4> ur algo
1196,true,True
1197,practical size constraint big fit engine comp,There are some practical size constraints too . Can  t be too big to fit in the engine comp https://t.co/aXz1YhEldj
1198,seem problem could probably increase area ratio given bar max de,"Doesn  t seem to be a problem . We could probably increase area ratio , given 330 bar max de https://t.co/0gutz4Kgij"
1199,,https://t.co/GzljMNYCiu
1200,preburners ignite main chamber,"Preburners ignite , then main chamber"
1201,prediction probability inaccurate,Where is our prediction of probability inaccurate ?
1202,energy time besides,"Or energy & time , but besides that what ?"
1203,genetic engineering slow unless use synthetic virus,Genetic engineering is too slow unless you use a synthetic virus
1204,predict,What can  t we predict ?
1205,yeah might need,"Yeah , but might not need it"
1206,expansion ratio little bit flow separation towards end nozzle,107 expansion ratio . You can a little bit of flow separation towards the end of the nozzle .
1207,rt completed full duration test fire raptor vacuum engine spacex rocket development facility mcgregor texas http,"RT : Completed a full duration test fire of the Raptor Vacuum engine at SpaceX  s rocket development facility in McGregor , Texas http"
1208,rt rvac sea level raptor human scale,RT : RVac and sea level Raptor with a human for scale https://t.co/xqiPQUY4Pl
1209,thing beyond ludicrous plaid,Only thing beyond ludicrous is plaid https://t.co/rHuWk20EGG
1210,seem like opposite open openai essentially captured microsoft,This does seem like the opposite of open . OpenAI is essentially captured by Microsoft .
1211,haha true,Haha true
1212,maybe,Maybe I will
1213,jet cool,Jets are so cool
1214,pretty much,Pretty much
1215,yes,Yes
1216,yahoo finance dumb sound,Yahoo Finance is as dumb as it sounds
1217,yes,Yes
1218,haha,Haha
1219,roadster better,Roadster will be better
1220,probably,Probably
1221,cybertruck atv roadster semi c r,"Cybertruck , ATV , Roadster & Semi C A R S https://t.co/4Aq1A5cYkH"
1222,thanks many year support tough time,Thanks for your many years of support through very tough times !
1223,little year challenging year ever,"We will be a little below that this year ( most challenging year we  ve ever had ) , but https://t.co/YgDE1OsZXA"
1224,right maybe little faster,That  s about right . Maybe a little faster .
1225,yes,Yes
1226,cgi irl,cgi irl
1227,haha,Haha
1228,rt drove model long range plus mile california believe could made explain,RT : We drove a Model S Long Range Plus for 422.7 miles in California and believe we could have made it to 430 . explain
1229,extreme difficulty scaling production new technology well understood harder,"The extreme difficulty of scaling production of new technology is not well understood . It  s 1000 % to 10,000 % harder https://t.co/mcxxFnSqfJ"
1230,haha,Haha
1231,intend increase reduce battery cell purchase panasonic lg catl possibly partner h,"We intend to increase , not reduce battery cell purchases from Panasonic , LG & CATL ( possibly other partners too ) . H https://t.co/FL4LwCp3Q0"
1232,important note tesla battery day unveil tomorrow affect long term production especially semi cybertr,"Important note about Tesla Battery Day unveil tomorrow . This affects long-term production , especially Semi , Cybertr https://t.co/FO4xHXAs9Q"
1233,thanks,Thanks !
1234,really need better leg starship coming,We really need better legs for Starship . They  re coming .
1235,likely flap fold landing reduce wind tip force,"Most likely , all flaps will fold after landing to reduce wind tip over force . T https://t.co/DyNlT5EKGk"
1236,fine already u f,"Fine , we  ll do it already <U+0001F600>"
1237,good analysis although think wait fsd bit mature,"Good analysis , although I think we should wait until FSD is a bit more mature"
1238,pretty sure tesla could much better autocorrect bar low haha,I  m pretty sure Tesla could do a much better autocorrect . The bar is so low haha .
1239,true,True
1240,custom ultra high speed bus efficient cooling,Custom ultra high speed bus & efficient cooling
1241,ok,Ok
1242,pretty much machine learning,Pretty much any machine-learning
1243,big,It  s big
1244,sure,Sure
1245,yeah open dojo training web service work bug,"Yeah , we will open Dojo for training as a web service once we work out the bugs"
1246,lot pointless zero fp neural net chop,There are a lot of pointless zeroes in FP32 neural nets . You can chop off 16 of the 3 https://t.co/mlPVbpni4y
1247,dojo us chip computer architecture optimized neural net training,"Dojo uses our own chips & a computer architecture optimized for neural net training , not a https://t.co/OiCfJT3gNA"
1248,really want waypoints much,You really want waypoints this much ?
1249,dojo betting fp floating floating point essentially truncating mostly zero,"For Dojo , we  re betting on FP16 with floating floating point ( essentially , truncating mostly zeroes ) https://t.co/bIXl4qIH22"
1250,yes,Yes
1251,yes,Yes
1252,lot green space around factory building continuous open area,"There  ll be lots of green space around factory , but building itself is continuous . The  open  areas https://t.co/rabjKrtQlw"
1253,shaped like diamond aligned true north,Shaped like a diamond & aligned on true north
1254,prior track record exceptional achievement engineering required prior experience working,"A prior track record of exceptional achievement in engineering * is * required , but * no * prior experience working on https://t.co/WZADDNXMID"
1255,feel neuralink might incorrectly overlooked resume declined make offer please lmk co,"If you feel Neuralink might have incorrectly overlooked your resume or declined to make an offer , please lmk in co https://t.co/hP3822Z0Dg"
1256,felt done enough internet zip paypal work would,Felt I had done enough on the Internet ( Zip 2 & PayPal ) that my work would https://t.co/ctbFloI1sO
1257,took utterly insane amount work move spacex tesla success probability zero,It took an utterly insane amount of work to move the SpaceX & Tesla success probabilities above ~ zero
1258,frank early day thought chance spacex tesla would worth,"To be frank , in the early days , I thought there was > 90 % chance that both SpaceX & Tesla would be worth https://t.co/cN2bFBua5q"
1259,irrational funny word describe number,Irrational is such a funny word to describe numbers
1260,course still love,of course I still love you
1261,sure planet,"Sure , but which planet ?"
1262,good movie,Good movie
1263,current strong droneship hold station thruster upgraded future mission,Current was too strong for droneship to hold station . Thrusters to be upgraded for future missions .
1264,lot happened year,Lot has happened in 13 years
1265,insane,It will be very insane
1266,speedrunning factorio real life,Speedrunning Factorio in real life
1267,make great point important note iron cost advantage partly offset,"No , but you make some great points . Important to note that iron  s cost advantage is partly offset by https://t.co/neZ5HKUc4A"
1268,yup,Yup
1269,fallout shelter tesla tap entertainment button,Fallout Shelter is on your Tesla . Tap the Entertainment button .
1270,implicit conflation consumption capital allocation foundational error,Implicit conflation of consumption & capital allocation is the foundational error
1271,great idea,Great idea !
1272,u f fallout radio u f,<U+0001F5A4> Fallout Radio <U+0001F5A4> https://t.co/gNo8XFjx8b
1273,eerie parallel boring company vault tec also built first demonstration tunnel vault la,There are some eerie parallels between The Boring Company & Vault-Tec . We also built our first demonstration tunnel / vault in LA .
1274,double underground nuclear shelter u f u f,Doubles as an underground nuclear shelter <U+0001F600> <U+0001F44D> https://t.co/CvI0YRjObE
1275,yeah,Yeah
1276,happening soon,Should be happening soon
1277,bit obscure starhammer stainless steel rat,"A bit more obscure , but Starhammer & Stainless Steel Rat"
1278,first thought parrot,"At first , I thought that was a parrot"
1279,remind guy,They remind me of these guys https://t.co/Qt502U08np
1280,story life,Story of my life
1281,,https://t.co/Vn0Rv0yQ5q
1282,tunnel city self driving electric car feel like warp drive first operational tunnel vega,Tunnels under cities with self-driving electric cars will feel like warp drive First operational tunnel under Vega https://t.co/wIZYhEd6Pa
1283,sure,For sure
1284,good point,Good point
1285,hugged tunnel today,Have you hugged a tunnel today ?
1286,good analysis,Good analysis
1287,exactly,Exactly
1288,gary snail still winning gaining,"Gary the snail is still winning , but we  re gaining on him / her"
1289,embrace tunnel,Embrace tunnels !
1290,tunnel solution traffic many level want usable tunnel depth far e,Tunnels are the solution to traffic . You can have as many levels as you want . Usable tunnel depth far e https://t.co/lqfdQwHH2g
1291,guess probably mid teen booster stacking orbital pad likely limiti,"Just a guess , but probably mid teens . Booster & stacking on orbital pad are likely limiti https://t.co/aTQPexe6dK"
1292,pretty accurate simulation although sn use raptor sn crater sn sn close behind,"Pretty accurate simulation , although SN8 will use 3 Raptors . If SN8 craters , SN9 & SN10 are close behind https://t.co/wvQFq4OqUA"
1293,agree major software improvement already place extend life coming,Couldn  t agree more  major software improvements are already in place to extend its life & more coming
1294,definitely smartwatches phone yesterday technology neuralinks future,"Definitely not . Smartwatches & phones are yesterday  s technology , Neuralinks are the future ."
1295,seems like make whole outfit material,Seems like they should make a whole outfit out of that material
1296,ancient greece committed suicide nobody dig grave better,Ancient Greece had it all & then committed suicide . Nobody digs your grave better than yourself .
1297,true,True
1298,lego movie awesome,The LEGO Movie was awesome
1299,story civilization first book little dry second book life greece incredible,"The Story of Civilization . First book is a little dry , but second book , The Life of Greece , is incredible . https://t.co/46lBciX7FI"
1300,wearing f engine shirt right,I  m wearing your F - 1 engine shirt right now !
1301,cumulative mass orbit per year correc,Cumulative mass to orbit per year ( correc https://t.co/8Lcu71XzvM
1302,number really matter,That  s the number that really matters
1303,anyone tracking tonnage orbit per year launch vehicle,Anyone tracking tonnage to orbit per year for all launch vehicles ?
1304,one way another excitement guaranteed support greater boca padre brownsville community much appreciated,"One way or another , excitement guaranteed ! Support of greater Boca , Padre , Brownsville community is very much appreciated ."
1305,sn starship flap nosecone done week static fire checkout static fire fly ft back,"SN8 Starship with flaps & nosecone should be done in about a week . Then static fire , checkouts , static fire , fly to 60,000 ft & back ."
1306,someone boat service south padre boca,Can someone do a boat service from South Padre to Boca ?
1307,exactly problem like addressed,Exactly . Problems like that have been addressed .
1308,yes good insight,Yes . Good insight .
1309,frame stitched single frame tricky camera overlap different way,"All frames stitched to single frame ( tricky , as all cameras overlap in different ways https://t.co/yzCixdgm38"
1310,much,Much
1311,yes,Yes
1312,releasing private beta week public beta early access owner opt,"Releasing private beta in 2 to 4 weeks , public beta ( early access owners who opt in https://t.co/OYCpr9I9Hq"
1313,still using dramatically better aka simultaneous surround video camera architecture,And this still isn  t using the dramatically better  4D  ( aka simultaneous surround video from 8 cameras ) architecture
1314,cool,Cool
1315,clue,He has no clue
1316,sorry hear sure figure though took u four launch reach orbit rocket hard,Sorry to hear that . I  m sure you  ll figure it out though . Took us four launches to reach orbit . Rockets are hard .
1317,many exciting thing unveiled battery day u u fe f,Many exciting things will be unveiled on Battery Day 9/22 <U+26A1> <U+FE0F>
1318,make super efficient home hvac hepa filter one day,We will make super efficient home hvac with hepa filters one day
1319,reich actually care global warming making much hot air,"If Reich actually cares about global warming , why is he making so much hot air ! ?"
1320,u f e u f ea nat rlich u f e u f ea,<U+0001F1E9> <U+0001F1EA> Natürlich <U+0001F1E9> <U+0001F1EA>
1321,bitte arbeiten sie bei tesla giga berlin e wird super spa machen,Bitte arbeiten Sie bei Tesla Giga Berlin ! Es wird super Spaß machen ! ! https://t.co/FcNoPr2oII
1322,try tesla welcome give back decide prefer subaru,Try a Tesla & you  re welcome to give it back if you decide you prefer a Subaru
1323,vera rubin observatory cool,Vera Rubin Observatory is cool
1324,,1 + 1 = 2
1325,munger right,Munger is right
1326,,https://t.co/f8rWY4ExeE
1327,black scholes formula kinda b big difference finance approximation fundamental physic pure math,Black-Scholes formula is kinda bs . Big difference between a finance approximation & fundamental physics / pure math .
1328,true,True
1329,tesla best understood collection dozen startup mostly series increasingly,"Tesla is best understood as a collection of about a dozen startups , mostly in series , increasingly https://t.co/zYnsXiSP4N"
1330,tesla r productivity exceptionally good due caliber engineering talent,Tesla R & D productivity is exceptionally good due to the caliber of engineering talent
1331,tesla model x hospital grade hepa air filter really good big effect healt,Tesla Model S & X have hospital-grade ( HEPA ) air filters . 3 & Y are really good too . This has a big effect on healt https://t.co/ytsK3LmfiI
1332,,!
1333,rt tesla energy ramp hiring giga new york accelerated solar production,RT : Tesla Energy ramps hiring at Giga New York for accelerated solar production https://t.co/Iha2DREwu0
1334,touch,Touché
1335,tesla worker also get stock compensation increased proportionately modern day moron,"All Tesla workers also get stock , so their compensation increased proportionately . You are a modern day moron ."
1336,rt onboard camera view falcon saocom b launch first stage land landing,RT : Onboard camera view of Falcon 9  s SAOCOM 1B launch and first stage land landing https://t.co/2IEZYiyYG5
1337,yup,Yup
1338,,13
1339,rawlinson design model prototype done joined left u lurch,Rawlinson didn  t design Model S . Prototype was done before he joined & he left us in the lurch just as t https://t.co/oy9yVM84xm
1340,pretty close manufacturing size limit milled copper steel ja,We  re pretty close to the manufacturing size limit for a milled copper & steel ja https://t.co/T8d3yN4xRy
1341,la guerre comme la guerre,A la guerre comme à la guerre
1342,haha,Haha
1343,start tweeting,And starts tweeting
1344,bombard earth enough photon eventually emits tesla ak,"If you bombard Earth with enough photons , eventually it emits a Tesla ( AK )"
1345,already bidirectional communication human ai via phone computer lo,There is already bidirectional communication between human & AI via phones & computers . It  s just lo https://t.co/t42iuaZMwH
1346,likely make,Above 50 % likely to make it
1347,test engine flight article fixed gimbal,This is a test engine . Flight articles are fixed with no gimbal .
1348,worth noting thrust slightly higher big bell nozzle version larger bell primarily,Worth noting that thrust is only slightly higher with the big bell nozzle version . Larger bell is primarily https://t.co/KIeGOvt0rD
1349,rt first raptor vacuum engine rvac starship shipped spacex rocket factory hawthorne california dev,"RT : The first Raptor Vacuum engine ( RVac ) for Starship has shipped from SpaceX  s rocket factory in Hawthorne , California to our dev"
1350,yes,Yes
1351,chart understates lithium ion potential roughly,Chart understates lithium-ion potential by roughly 1/3
1352,model rated reliable car,Model 3 rated as most reliable car https://t.co/26DAGJLTDY
1353,turn make anything fly haha,Turns out you can make anything fly haha https://t.co/FJdHqRdVDb
1354,exactly fully appreciated,Exactly . This is not fully appreciated .
